i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
98,43,41.40358343451939,0.0067343039234695,0.0820628047502007,0.962047621273026,1.008220471573383,0.0643552747652509,38.96308188862329,0.005092787903953,0.0713637716488766,0.9640634540590978,1.0368258484313635
109,52,41.35756079177969,0.0070073790591123,0.0837100893507606,0.9625783841793862,1.0025513004238813,0.0651844359543967,38.42551158541936,0.0054104593944874,0.073555825020779,0.9644440709355248,1.03835639825676
124,65,41.17887951569086,0.0069157248802712,0.0831608374192519,0.9620548415538828,1.0045344344843297,0.0630536059317009,37.92627487563073,0.0056376873150061,0.075084534459542,0.9646003619349692,1.0355665563056091
129,46,41.41392400820135,0.006981740381441,0.0835568093062504,0.9620727310260544,1.0059013227047138,0.0660428342426623,38.68770026788184,0.0051990030724155,0.0721041127288555,0.9654211406916512,1.0362243294941684
134,67,41.33942908058042,0.0068429508791212,0.0827221305281798,0.9628019066347376,1.004843396488602,0.0667377805636632,38.692717126761664,0.0053318225810529,0.0730193301876495,0.9648993172864596,1.04038170493271
135,70,40.93452704004892,0.0068378523725671,0.0826913077207464,0.9618231991005456,1.0046481212792913,0.0640775355314813,38.9728149486637,0.0056945771733865,0.0754624222602653,0.962378785950206,1.034502603930327
136,62,41.47782057675739,0.0067803063319051,0.0823426155274721,0.96253514021557,1.003339136707434,0.0641103936228991,38.87287153590231,0.0053709032447213,0.0732864465281361,0.9650985771053732,1.0320182778147389
138,50,41.15778951969965,0.0069783231041855,0.0835363579777424,0.9629299856066058,0.999890750965267,0.0682775016791988,38.97252199126957,0.0058173852570539,0.0762717854586739,0.9651443965222324,1.0304777000215282
146,77,41.40017319816199,0.0068374240149784,0.0826887175797187,0.961687577666664,1.0014890622032468,0.0665483517996032,38.80460408736441,0.0055608648452518,0.0745712065428196,0.9645526924602726,1.036412842958869
149,50,41.05882771200058,0.0069318299654028,0.0832576120568132,0.962001733668526,1.0015990048906829,0.0686864067714904,38.52782050999208,0.005330589068157,0.0730108832172099,0.964007642638711,1.0311761626848963
