i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
30,26,38.13699710279441,0.0093131930060474,0.0965048859180064,0.9489634238797742,0.9700073835342432,0.0578659994915711,30.6467342816564,0.0083575443755046,0.0914196060782623,0.9503674944600284,1.0239460446163355
62,23,38.91178328412138,0.0095546311723444,0.0977477936955327,0.9488098644359536,0.9755983098291308,0.0559817381656463,31.47688865803479,0.0085355070456324,0.0923878078841168,0.95025159156552,1.025067242577604
65,64,38.34214798943552,0.0091214341554269,0.0955061995654051,0.949724946683582,0.9813532664396876,0.0582468293639246,31.001596323665797,0.0081345496286443,0.0901917381396121,0.9502406792923488,1.0394669993757042
75,16,38.21060936493195,0.0094070162246559,0.096989773814851,0.947491282001599,0.9700924412736646,0.0558098702698874,30.070285377992807,0.0080228279001205,0.0895702400360774,0.9500365310147646,1.023971360474322
105,36,38.24089435939313,0.0094169605068321,0.0970410248649103,0.948698072014408,0.971126322995276,0.0548186161327064,32.03240023459232,0.0081597288259727,0.0903312173391502,0.950670226880727,1.0245080320388849
111,38,38.49919705508445,0.0096669536991745,0.0983206677111914,0.9493932111462646,0.9753402330235672,0.0530769364424202,31.130436976529147,0.0086984775721392,0.0932656291038623,0.9502151547469933,1.027606668021908
139,30,38.01896553244226,0.0095238637068631,0.0975902849000001,0.9493315322437746,0.9712301562762012,0.0546955229050328,31.392401874329973,0.0080927327580223,0.089959617373699,0.9505655448460985,1.022602523834937
139,44,38.161960988349485,0.0093513297980266,0.0967022740064918,0.9480400231036472,0.9704276401463996,0.0568297310527437,32.14354340750087,0.0085650883433667,0.0925477624978948,0.9500545900621146,1.0257645751798838
139,63,38.676712155946326,0.0093471052908441,0.0966804286856658,0.9499904898284562,0.974886076066478,0.0575477848113479,32.885851043287026,0.0080241043879236,0.0895773653772183,0.9504143206168192,1.0333700704032864
141,43,38.82308263728213,0.0095912701181503,0.0979350300870445,0.9488564741748244,0.9766160285044336,0.0564532537792766,31.552950844808013,0.008126187359974,0.0901453679340989,0.9510093116057148,1.032682886753993
